block,iucr,primary_type,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,latitude,longitude
071XX S CONSTANCE AVE,2825,OTHER OFFENSE,False,True,324,3.0,5.0,43.0,26,1189606.0,1858081.0,2003,41.765619127,-87.58058638600001
017XX W OHIO ST,1310,CRIMINAL DAMAGE,False,False,1215,12.0,26.0,24.0,14,1164579.0,1904064.0,2016,41.892365794,-87.671018925
061XX S WOODLAWN AVE,0820,THEFT,False,False,314,3.0,20.0,42.0,06,1185273.0,1864480.0,2013,41.783281511,-87.59626700700001
067XX S RACINE AVE,0460,BATTERY,False,False,724,7.0,17.0,68.0,08B,1169479.0,1860174.0,2007,41.771822246999996,-87.654297497
005XX N LEAMINGTON AVE,2027,NARCOTICS,True,False,1532,15.0,28.0,25.0,18,1141938.0,1903046.0,2007,41.890021753,-87.75419588700001
013XX W 57TH ST,1330,CRIMINAL TRESPASS,False,False,713,7.0,16.0,67.0,26,1168485.0,1866967.0,2007,41.790484547,-87.65774554299999
001XX E WACKER DR,1210,DECEPTIVE PRACTICE,True,False,124,1.0,42.0,32.0,11,1177683.0,1902638.0,2005,41.888165132,-87.62293721200001
070XX S MAY ST,1310,CRIMINAL DAMAGE,False,False,733,7.0,17.0,68.0,14,1169866.0,1858215.0,2007,41.766438113,-87.652935688
051XX N WESTERN AVE,0420,BATTERY,False,False,2031,20.0,40.0,4.0,04B,1159433.0,1933885.0,2002,41.974304052,-87.68909507
057XX W LELAND AVE,0810,THEFT,False,False,1622,16.0,45.0,15.0,06,1137235.0,1930671.0,2007,41.96591361,-87.77080209200001
043XX N KIMBALL AVE,031A,ROBBERY,False,False,1723,17.0,33.0,16.0,03,1152935.0,1928827.0,2015,41.96055619,-87.71312483
