class,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00000001,-11.14,-2.41,3.38,590.5,390.36,20.19,123.83,99.06,2.07,8.77,8.61,-0.4,12.31,41.33,113.55,41.34,113.57,221.36,113.57,-4.59,0.9,0.74,-1.12,-0.24
class-00000001,-10.88,-0.9,5.1,541.94,370.6,15.48,105.61,86.38,1.47,7.67,12.17,-1.46,8.81,31.98,95.76,31.98,95.78,195.59,95.78,-2.33,-0.76,-0.29,-1.69,-1.22
class-00000001,-9.56,-0.1,3.72,540.8,369.86,12.79,92.51,76.69,2.96,7.62,13.54,-2.16,7.22,26.65,83.32,26.65,83.34,175.19,83.34,-2.63,0.54,0.82,-2.12,-2.38
class-00000001,-10.84,0.3,7.29,633.36,424.81,13.29,98.67,81.79,1.84,6.99,12.76,-1.62,6.87,27.65,88.83,27.65,88.85,186.56,88.85,-2.99,-0.39,0.06,-1.74,-1.9
class-00000001,-9.13,-0.35,6.54,601.1,412.96,20.46,122.17,97.44,3.47,10.95,14.76,-2.02,13.22,42.01,112.23,42.02,112.25,217.73,112.25,-2.4,1.18,1.29,-1.97,0.04
class-00000001,-9.1,2.86,6.57,594.52,407.36,17.43,107.31,86.94,6.02,11.89,18.57,-2.1,11.94,36,97.9,36,97.92,196.31,97.93,-2.3,3.48,3.75,-1.56,-0.53
class-00000001,-10.58,-1.75,8.34,634.63,426.09,16.94,109.51,88.72,1.5,8.02,10.97,-1.19,10.18,34.93,99.8,34.93,99.82,199.94,99.82,-2.22,-0.45,-0.04,-1.54,-0.84
class-00000001,-10.35,0.44,6.33,633.94,421.52,11.27,90.84,76.34,4.54,7.73,15.96,-1.99,5.47,23.65,81.17,23.65,81.19,175.5,81.19,-3.78,2.1,2.39,-1.73,-1.9
class-00000001,-9.2,-0.89,8.18,637.41,428.22,15.7,102.84,83.94,2.88,8.53,12.86,-1.73,9.8,32.49,93.41,32.49,93.43,190.12,93.43,-2.33,0.64,0.97,-1.83,-1.01
class-00000001,-8.86,-0.16,41.81,787.73,531.74,12.84,96.36,80.08,0.55,5.92,10.47,-1.51,6.7,26.8,86.62,26.81,86.64,183.03,86.64,-1.55,-1.35,-0.9,-1.8,-1.72
class-00000001,-11.18,0.41,0.82,421.47,289.55,12.48,96.38,80.57,3.74,7.81,15.55,-1.76,6.28,25.96,86.39,25.96,86.41,184.46,86.41,-3.79,1.31,1.58,-1.71,-1.66
class-00000001,-9.05,0.49,2.89,526.13,372.14,22.19,126.79,100.74,5.36,12.97,17.29,-2.17,15.3,45.5,116.78,45.5,116.8,224.79,116.81,-2.01,2.84,2.99,-1.78,0.56
class-00000001,-10.42,-0.13,0.79,432.06,290.5,19.21,119.07,96,2.23,8.29,7.84,-0.68,11.91,39.22,108.85,39.23,108.87,215.31,108.87,-3.38,0.62,0.49,-1.19,-0.51
class-00000001,-9.7,0.8,1.49,550.66,363.9,6.76,77.63,67.81,1.05,3.89,12.92,-1.72,0.94,14.45,67.83,14.45,67.85,158.54,67.85,-3.6,-1.36,-0.95,-1.87,-3.32
class-00000001,-9.37,-0.15,0.8,410.86,283.12,27.39,146.27,114.25,4.66,14.46,15.99,-1.99,19.27,55.71,135.86,55.71,135.88,252.03,135.88,-1.28,2.18,2.14,-1.79,1.02
class-00000001,-10.37,-1.22,2.75,513.59,350.14,13.45,95.3,78.74,1.01,6.28,9.55,-1.37,7.54,27.84,86,27.84,86.02,179.31,86.02,-1.33,-1.01,-0.49,-1.62,-2.01
class-00000001,-10.47,0.35,2,534.87,360.2,10.28,89.5,75.84,4.07,6.97,16.01,-1.89,4.15,21.6,79.58,21.6,79.6,174.88,79.6,-4.33,1.62,1.93,-1.77,-2.15
class-00000001,-10.51,0.09,4.03,647.76,427.78,12.63,97.12,80.93,1.28,6.28,12.06,-1.55,6.19,26.27,87.17,26.27,87.19,184.99,87.19,-2.59,-0.91,-0.44,-1.7,-1.95
class-00000001,-9.2,-0.35,2.15,513.31,354.56,23.76,131.59,103.77,4.65,13.11,16.1,-2.07,16.52,48.56,121.66,48.56,121.68,230.46,121.69,-1.66,2.14,2.25,-1.85,0.73
class-00000001,-8.58,-0.12,2.76,565.19,380.82,23.61,133.68,105.62,3.67,12.03,14.25,-1.98,15.88,48.24,123.43,48.24,123.45,234.62,123.45,-1.91,1.3,1.56,-1.94,0.53
class-00000001,-10.13,0.16,1.7,524.83,352.2,13.45,99.82,82.84,4.32,8.57,16.5,-1.91,7.09,27.94,89.81,27.94,89.83,189,89.83,-3.68,1.8,2.08,-1.78,-1.35
