class,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00025001,-9.15,-0.11,0.85,424.33,291.81,26.44,143.38,112.32,4.3,13.78,15.49,-1.97,18.37,53.81,132.97,53.81,132.99,248.17,132.99,-1.5,1.87,1.85,-1.84,0.89
class-00025001,-9.12,-0.1,0.92,435.25,299.18,26.05,142.1,111.46,4.14,13.5,15.28,-1.96,18.01,53.03,131.7,53.03,131.72,246.45,131.72,-1.59,1.73,1.72,-1.86,0.85
class-00025001,-9.15,0.45,0.65,376.29,255.81,25.09,138.92,109.39,4.33,13.24,15.49,-1.83,17.19,51.09,128.51,51.09,128.53,242.39,128.53,-1.93,1.88,2.03,-1.71,0.8
class-00025001,-9.45,0.39,0.6,372.9,252.93,25.82,141.74,111.43,4.48,13.6,15.66,-1.85,17.8,52.55,131.24,52.55,131.26,246.64,131.26,-1.85,2.01,2.14,-1.7,0.87
class-00025001,-8.89,0.32,9.02,632.52,430.22,10.46,87.36,73.71,4.77,7.98,17,-2.1,4.82,22.1,77.87,22.1,77.89,169.97,77.89,-4.16,2.27,2.59,-1.83,-3.63
class-00025001,-10.21,0.39,2.68,525.39,362.27,11.62,93.98,78.9,1.95,6.38,13.39,-1.7,5.3,24.26,84.01,24.26,84.03,181.07,84.03,-3.32,-0.36,0.09,-1.78,-2.31
class-00025001,-10.19,0.36,5.36,575.75,398.31,14.36,101.63,83.8,3.39,8.38,14.44,-1.8,8.07,29.81,91.78,29.81,91.8,190.71,91.8,-3.43,1.1,1.42,-1.72,-1.62
class-00025001,-9.5,-0.13,8.3,846.22,546.35,11.31,91.41,76.73,-1.97,4.24,9.07,-1.6,5.22,23.62,81.71,23.62,81.73,176.08,81.73,0.19,-4.13,-3.5,-1.93,-2.37
class-00025001,-9.19,-0.02,4.08,548.87,376.91,10.92,84.52,71.23,3.94,7.89,15.22,-2.02,6.18,22.94,75.5,22.94,75.52,164.25,75.52,-3.12,1.51,1.78,-1.91,-2.76
class-00025001,-8.9,0.01,7.62,637.83,430.84,5.86,68.39,60.37,3.42,5.35,14.37,-1.96,1.6,12.87,59.45,12.87,59.47,142.49,59.47,-3.52,1.06,1.38,-1.9,-3.96
class-00025001,-8.69,-0.13,5.65,599.03,410.63,19.7,115.57,92.61,4.7,11.63,15.95,-2.09,13.61,40.56,106.03,40.57,106.05,207.86,106.05,-2.22,2.21,2.45,-1.81,-0.2
class-00025001,-10.75,-0.09,4.26,591.85,404.66,14.1,101.7,84,3.09,7.83,13.4,-1.74,7.67,29.29,91.73,29.29,91.75,191.28,91.76,-3.25,0.81,1.11,-1.72,-1.49
class-00025001,-10.14,-0.63,1.87,471.41,322.17,13.63,96.7,79.98,3.31,8.05,13.53,-2.08,7.82,28.27,87.21,28.27,87.23,182.29,87.23,-2.78,0.9,1.11,-1.98,-2.05
class-00025001,-10.14,-0.61,2.17,485.49,331.94,12.9,94.65,78.64,3.51,7.89,14.15,-2.13,7.1,26.82,85.14,26.83,85.16,179.7,85.16,-3.06,1.07,1.3,-2,-2.11
class-00025001,-9.95,-0.52,6.37,684.95,452.07,11.67,91.85,76.9,0.77,5.66,11.12,-1.53,5.68,24.36,82.24,24.36,82.26,176.32,82.26,-2.01,-1.42,-0.87,-1.74,-2.22
class-00025001,-10.34,0.07,8.41,614.4,415.55,11.93,93.46,78.13,1.29,6.09,11.97,-1.6,5.81,24.92,83.73,24.92,83.75,179.04,83.75,-2.62,-0.87,-0.4,-1.73,-2.14
class-00025001,-10.39,-1.15,6.95,599.59,407.25,13.79,99.28,82.04,0.95,6.11,9.03,-1.2,7.51,28.56,89.54,28.56,89.56,186.75,89.56,-1.45,-0.99,-0.43,-1.48,-1.75
class-00025001,-8.68,-0.52,2.67,551.86,376.24,26.32,142.03,111.03,4.03,13.49,14.74,-2.01,18.33,53.66,131.84,53.66,131.86,245.19,131.87,-1.38,1.65,1.7,-1.91,0.78
class-00025001,-9.1,-0.03,2.34,514.96,358.78,27.35,145.49,113.6,5.46,15.09,17.39,-2.18,19.46,55.78,135.17,55.79,135.19,250.86,135.19,-1.3,2.89,3.01,-1.78,1.05
class-00025001,-9.24,-0.04,2.72,519.69,363.49,27.68,146.46,114.22,5.76,15.5,18.05,-2.21,19.79,56.47,136.14,56.47,136.16,252.07,136.16,-1.28,3.16,3.32,-1.74,1.12
class-00025001,-8.98,-0.07,2.39,519.14,362.02,27.8,147.35,114.91,5.46,15.27,17.47,-2.19,19.81,56.7,136.97,56.7,136.99,253.54,136.99,-1.27,2.91,2.99,-1.79,1.07
class-00025001,-9.27,-2,7.25,640.51,425.65,20.23,121.69,97.27,2.7,9.95,11.94,-1.36,12.97,41.5,111.67,41.5,111.69,217.54,111.69,-2.55,0.68,0.87,-1.6,-0.07
class-00025001,-10.4,0.02,10.26,601.78,415.25,15.63,105.48,86.25,1.16,6.46,6.59,-1.43,9.1,32.28,95.68,32.28,95.7,195.29,95.7,-1.53,-0.66,-0.33,-1.58,-1.72
class-00025001,-10.04,-0.15,1.62,578.41,380.99,13.16,98.22,81.52,2.75,7.37,14.29,-1.97,6.77,27.32,88.35,27.32,88.37,185.95,88.38,-3.23,0.31,0.59,-1.95,-1.61
class-00025001,-8.85,2.76,1.6,479.74,324.11,3.78,65.24,58.82,5.5,5.7,18.14,-2.11,-1.27,8.58,55.91,8.58,55.93,139.86,55.93,-5.5,2.91,3.19,-1.78,-4.62
class-00025001,-10.95,-0.97,5.17,491.37,340.55,13.61,96.05,79.36,2.63,7.02,9.46,-2.04,7.8,28.22,86.68,28.22,86.7,180.77,86.7,-2.29,0.38,0.52,-1.91,-2.39
class-00025001,-10.91,-0.76,4.81,548.92,372.89,11.31,89.74,75.25,2.21,6.64,13.11,-2.08,5.44,23.65,80.29,23.65,80.31,172.74,80.31,-3.19,-0.16,0.2,-2.07,-2.94
class-00025001,-10.92,-0.78,8.37,586.21,400.12,11.51,90.36,75.67,3.03,7.18,13.98,-2.18,5.7,24.11,80.91,24.11,80.93,173.67,80.93,-3.55,0.63,0.93,-2.08,-2.83
class-00025001,-10.77,-0.67,5.68,559.14,381.54,10.47,87.02,73.42,3.31,7.01,14.41,-2.16,4.76,22.02,77.59,22.02,77.61,169.16,77.61,-3.85,0.88,1.17,-2.03,-3.34
class-00025001,-9.54,-0.76,24.17,685.54,458.09,10.93,86.63,72.71,2.8,6.93,13.55,-2.15,5.52,23,77.48,23,77.5,167.23,77.5,-3.17,0.44,0.79,-2.1,-3.03
class-00025001,-10.87,-0.76,5.26,559.93,380.9,11.25,89.57,75.13,3.01,7.13,14.25,-2.18,5.41,23.57,80.12,23.57,80.14,172.54,80.14,-3.59,0.55,0.86,-2.08,-2.91
class-00025001,-10.89,-1.04,27.03,692.36,466.72,12.36,93.63,77.81,2.5,7.13,13.32,-2,6.32,25.87,84.15,25.87,84.17,177.94,84.18,-3.25,0.17,0.55,-1.98,-2.59
class-00025001,-9.32,-0.16,11.69,719.77,476.66,15.31,101.82,83.13,3.67,9.35,14.84,-2.2,9.33,31.76,92.43,31.76,92.45,188.4,92.45,-3.1,1.24,1.54,-2.03,-2.32
class-00025001,-9.09,-0.87,17.36,826.73,536.68,12.07,93.17,77.64,0.25,5.39,10.06,-1.63,5.98,25.19,83.61,25.19,83.63,177.6,83.63,-1.01,-1.89,-1.37,-1.91,-1.91
class-00025001,-9.08,-0.91,15.76,826.48,535.02,12.26,94.39,78.59,1.12,6,11.5,-1.76,6.05,25.59,84.74,25.59,84.76,179.7,84.76,-1.83,-1.12,-0.67,-1.99,-1.8
class-00025001,-9.23,-0.85,64.87,882.96,587.07,11.44,90.27,75.53,-2.41,3.95,7.54,-1.41,5.6,23.98,80.84,23.98,80.86,173.28,80.86,0.96,-4.37,-3.7,-1.77,-2.5
class-00025001,-11.1,0.42,9.38,598.61,421.52,14.17,99.4,82.08,5.32,9.72,17.33,-2.11,8.53,29.55,89.72,29.55,89.74,187.19,89.74,-3.03,2.82,3.09,-1.71,-1.13
class-00025001,-9.42,-0.57,3.63,625.54,413.72,16.34,106.82,86.98,3.03,8.88,13.6,-1.69,10.01,33.73,97.13,33.73,97.15,196.6,97.15,-2.47,0.73,1.04,-1.77,-0.72
class-00025001,-10.28,-0.98,6.46,711.98,467.15,12.27,95.19,79.39,1.06,6.05,11.77,-1.56,6.01,25.59,85.38,25.6,85.4,181.65,85.4,-2.22,-1.16,-0.63,-1.79,-1.98
class-00025001,-9.42,-0.1,10.04,844.62,543.74,11.19,91.92,77.21,0.48,5.26,11.34,-1.79,4.93,23.43,82.12,23.43,82.15,177.27,82.15,-1.9,-1.74,-1.26,-2,-2.22
class-00025001,-8.78,-0.49,8.36,635.22,430.5,16.3,103.07,83.8,3.49,9.45,13.87,-1.9,10.69,33.7,93.85,33.71,93.87,189.54,93.87,-2.3,1.2,1.31,-1.86,-0.89
class-00025001,-9.48,-1.05,3.08,613.61,411.98,11.84,90.95,76.1,2.37,6.61,12.27,-1.67,6.2,24.68,81.49,24.68,81.51,174.48,81.51,-2.52,0.19,0.39,-1.78,-1.99
class-00025001,-8.76,-0.81,6.78,625.56,423.83,26.67,142.15,110.77,4.21,13.78,14.84,-2.05,18.73,54.4,132.15,54.4,132.17,244.3,132.17,-1.17,1.79,1.89,-1.91,0.81
class-00025001,-8.94,-0.51,2.14,511.73,351.16,26.95,144.25,112.56,4.15,13.83,14.81,-1.99,18.87,54.9,134.02,54.9,134.04,248.26,134.05,-1.23,1.76,1.79,-1.87,0.85
class-00025001,-9.05,-0.06,4.43,569.91,388.85,22.88,130.16,103,4.2,12.28,14.99,-2.06,15.5,46.83,120.09,46.83,120.11,229.12,120.11,-2.19,1.88,1.88,-1.86,0.49
class-00025001,-9.2,-0.76,7.08,633.06,429.85,23.23,130.15,102.48,2.49,11.05,11.41,-1.82,15.67,47.49,120.37,47.49,120.38,227.3,120.39,-1.91,0.58,0.34,-1.97,0.3
class-00025001,-8.94,-0.51,2.14,511.73,351.16,26.95,144.25,112.56,4.15,13.83,14.81,-1.99,18.87,54.9,134.02,54.9,134.04,248.26,134.05,-1.23,1.76,1.79,-1.87,0.85
class-00025001,-9.05,-0.06,4.43,569.91,388.85,22.88,130.16,103,4.2,12.28,14.99,-2.06,15.5,46.83,120.09,46.83,120.11,229.12,120.11,-2.19,1.88,1.88,-1.86,0.49
class-00025001,-9.2,-0.76,7.08,633.06,429.85,23.23,130.15,102.48,2.49,11.05,11.41,-1.82,15.67,47.49,120.37,47.49,120.38,227.3,120.39,-1.91,0.58,0.34,-1.97,0.3
class-00025001,-10.03,-0.92,2.38,582.38,394.19,13.87,100.68,83.28,1.78,6.76,11.17,-1.49,7.45,28.74,90.75,28.74,90.77,189.64,90.77,-2.46,-0.31,0.08,-1.61,-1.69
class-00025001,-9.84,-0.12,5.66,566.74,389.44,16.48,108.06,88,3.39,9.41,14.56,-1.87,10.03,34.03,98.24,34.04,98.26,198.94,98.26,-2.98,1.03,1.36,-1.85,-1.33
class-00025001,-8.71,2.89,4.95,569.42,392.09,14.99,98.2,80.72,6.34,11.63,19.05,-2.24,10.27,31.17,88.92,31.17,88.94,183.84,88.94,-2.03,3.69,4,-1.61,-2.21
class-00025001,-8.43,2.9,6.15,576.02,400.12,31.12,153.78,118.16,6.67,17.66,19.51,-2.27,22.99,63.41,144.1,63.41,144.12,259.03,144.12,-0.7,3.99,4.31,-1.53,1.3
class-00025001,-9.05,2.72,5.59,577.62,395.35,6.16,71.68,62.97,5.79,6.96,18.36,-2.22,1.37,13.48,62.45,13.48,62.47,148.21,62.47,-4.2,3.2,3.5,-1.79,-3.68
class-00025001,-8.93,2.81,6.57,590.26,405.2,9.17,80.94,69.07,6.04,8.62,18.69,-2.24,4.3,19.52,71.72,19.52,71.74,160.29,71.74,-3.42,3.43,3.74,-1.72,-3.3
class-00025001,-8.67,2.88,10.71,634.83,431.69,24.52,126.25,99.16,6.51,15.56,19.23,-2.26,18.87,50.24,117.15,50.24,117.17,220.43,117.17,-1.12,3.87,4.19,-1.54,-0.52
class-00025001,-10.72,0.48,5.62,582.05,398.73,12.46,94.65,78.97,4.6,8.31,15.94,-1.99,6.65,26.05,84.92,26.05,84.94,180.93,84.94,-3.52,2.16,2.42,-1.73,-1.6
class-00025001,-9.34,-0.4,2.09,502.15,346.05,14.93,98.47,80.76,3.6,9.1,14.53,-2.06,9.48,30.89,89.26,30.89,89.28,183.45,89.28,-2.54,1.24,1.31,-1.97,-1.59
class-00025001,-9.78,-0.34,24.77,783.41,518.96,12.68,95.99,79.8,2.39,6.94,12.98,-1.82,6.58,26.52,86.26,26.52,86.28,182.44,86.28,-2.55,0.17,0.48,-1.95,-1.5
class-00025001,-10.12,1.84,2.9,524.34,369.58,16.97,109.24,88.92,5.78,11.45,18.15,-2.13,10.94,35.06,99.37,35.06,99.39,201.07,99.39,-2.74,3.2,3.48,-1.64,-1.18
class-00025001,-8.7,-0.16,6,634.68,429.81,19.72,118.3,94.83,4.4,11.31,15.74,-2.05,13.07,40.58,108.45,40.58,108.47,212.7,108.47,-2.44,1.93,2.19,-1.86,-0.27
class-00025001,-9.19,-1.01,10.85,695.08,460.19,11.01,87.4,73.47,2.95,6.79,13.62,-1.84,5.64,23.13,78.1,23.14,78.12,169.07,78.12,-2.99,0.6,0.97,-1.86,-2.16
class-00025001,-9.74,-0.51,2.95,538.26,366.44,13.2,95.74,79.33,3.83,8.39,15.27,-2.18,7.32,27.46,86.23,27.46,86.25,181.06,86.25,-3.24,1.32,1.58,-2.04,-2.1
class-00025001,-9.78,-0.34,24.77,783.41,518.96,12.68,95.99,79.8,2.39,6.94,12.98,-1.82,6.58,26.52,86.26,26.52,86.28,182.44,86.28,-2.55,0.17,0.48,-1.95,-1.5
class-00025001,-10.12,1.84,2.9,524.34,369.58,16.97,109.24,88.92,5.78,11.45,18.15,-2.13,10.94,35.06,99.37,35.06,99.39,201.07,99.39,-2.74,3.2,3.48,-1.64,-1.18
class-00025001,-8.7,-0.16,6,634.68,429.81,19.72,118.3,94.83,4.4,11.31,15.74,-2.05,13.07,40.58,108.45,40.58,108.47,212.7,108.47,-2.44,1.93,2.19,-1.86,-0.27
class-00025001,-9.19,-1.01,10.85,695.08,460.19,11.01,87.4,73.47,2.95,6.79,13.62,-1.84,5.64,23.13,78.1,23.14,78.12,169.07,78.12,-2.99,0.6,0.97,-1.86,-2.16
class-00025001,-9.74,-0.51,2.95,538.26,366.44,13.2,95.74,79.33,3.83,8.39,15.27,-2.18,7.32,27.46,86.23,27.46,86.25,181.06,86.25,-3.24,1.32,1.58,-2.04,-2.1
class-00025001,-8.84,-0.59,8.56,620.84,424.72,9.64,78.84,66.99,4,7.55,15.2,-2.1,5.35,20.43,70.09,20.43,70.11,155.28,70.11,-2.81,1.59,1.73,-1.98,-3.12
class-00025001,-10.38,-0.78,10.19,645.9,431.13,12.72,92.86,77.02,3.39,7.73,14.06,-1.97,7.02,26.54,83.6,26.55,83.62,176.03,83.63,-3.11,1.02,1.31,-1.89,-1.93
class-00025001,-8.95,0.24,8.82,632.7,427.35,9.6,80.84,68.75,5.15,8.32,17.21,-2.2,5.01,20.38,71.79,20.38,71.81,159.35,71.81,-3.27,2.59,2.87,-1.87,-3.41
class-00025001,-10.37,-1.12,9.93,620.08,423.93,13.22,95.17,78.81,3.58,7.96,13.88,-2.01,7.51,27.56,85.76,27.56,85.78,179.93,85.78,-3.01,1.22,1.48,-1.88,-1.82
class-00025001,-9.83,2.28,0.7,418.12,290.12,14,98.45,81.5,6.12,10.77,18.88,-2.1,8.53,29.05,88.76,29.05,88.78,185.9,88.78,-2.96,3.46,3.73,-1.57,-2.32
class-00025001,-9.44,-0.93,77.44,994.83,641.94,11.69,92.15,76.93,-0.71,4.72,9.11,-1.67,5.57,24.54,82.6,24.54,82.62,176.33,82.62,-0.62,-2.78,-2.18,-1.95,-2.23
class-00025001,-10.09,-1.02,10.86,660.61,451.75,14.96,103.57,85.03,3.7,8.24,12.6,-1.88,8.7,31.07,93.72,31.07,93.74,193.14,93.74,-2.98,1.45,1.66,-1.71,-1.28
class-00025001,-9.87,-1.92,3.72,612.09,404.52,19.46,118.7,95.21,2.72,9.62,11.83,-1.34,12.37,39.91,108.75,39.92,108.77,213.27,108.77,-2.41,0.65,0.84,-1.58,-0.11
class-00025001,-9.31,-0.59,5.54,633.86,428.22,12.19,90.5,75.36,0.92,6.12,11.05,-1.55,6.66,25.42,81.32,25.42,81.34,172.47,81.34,-1.96,-1.04,-0.77,-1.81,-2.16
class-00025001,-10.54,-0.3,3.03,589.79,392.63,14.26,102.49,84.54,2.74,7.92,14.37,-1.7,7.67,29.55,92.5,29.56,92.52,192.3,92.52,-3.25,0.43,0.79,-1.75,-1.38
class-00025001,-10.17,0.38,7.76,530.81,379.55,15.93,106.16,86.8,3.2,9.1,14.42,-1.92,9.66,32.98,96.32,32.99,96.34,196.77,96.34,-3.02,0.87,1.25,-1.82,-1.56
class-00025001,-9.86,-0.66,2.04,521.93,355.53,14,97.6,80.5,4.06,8.73,15.31,-2.21,8.3,29.06,88.15,29.06,88.17,183.31,88.17,-2.47,1.49,1.72,-2.05,-1.3
class-00025001,-11.28,0.28,2.4,579.93,387.25,13.39,99.78,82.8,2.65,7.33,13.65,-1.68,6.91,27.8,89.76,27.8,89.78,188.89,89.78,-3.19,0.37,0.71,-1.74,-1.53
class-00025001,-10.62,-1.03,0.48,377.06,257.16,17.6,110.07,89.19,1.59,8.36,11.27,-1.85,11.18,36.07,100.4,36.07,100.42,200.86,100.42,-1.13,-0.76,-0.52,-1.96,-0.82
class-00025001,-9.72,-0.94,6.26,629.91,419.86,12.86,95.04,78.93,2.91,7.5,13.99,-1.77,6.93,26.79,85.49,26.79,85.51,180.34,85.51,-3.09,0.57,0.93,-1.82,-1.66
class-00025001,-10.14,0.41,6.06,578.28,401.29,13.25,98.64,81.87,3.85,8.3,15.61,-1.9,6.98,27.61,88.73,27.62,88.75,186.98,88.75,-3.84,1.46,1.78,-1.78,-1.88
class-00025001,-9.31,-0.09,1.44,467.06,324.31,26.79,143.81,112.47,4.91,14.4,16.47,-2.08,18.84,54.58,133.49,54.58,133.51,248.42,133.52,-1.48,2.4,2.44,-1.81,0.98
class-00025001,-10.53,-1.17,11.34,706.63,469.24,13.99,100.11,82.58,2.47,7.6,13.17,-1.65,7.73,29.09,90.36,29.09,90.38,188,90.38,-2.85,0.22,0.61,-1.78,-1.44
class-00025001,-9.88,-0.57,2.79,521.49,350.15,12.05,91.41,76.3,3.25,7.46,14.14,-2.12,6.32,25.11,82.02,25.11,82.04,174.72,82.04,-3.21,0.82,1.06,-2.03,-2.29
class-00025001,-10.06,-0.1,3.85,609.76,416.27,13.86,100.16,82.83,3.81,8.18,14.73,-2.08,7.67,28.82,90.29,28.82,90.31,188.79,90.31,-3.2,1.39,1.64,-1.89,-1.41
class-00025001,-9.03,-0.4,4.48,585.93,394.28,14.97,98.82,80.93,3.07,8.69,13.66,-1.93,9.35,31,89.63,31,89.65,183.71,89.65,-2.44,0.75,1.05,-1.93,-1.68
class-00025001,-9.88,-0.57,2.79,521.49,350.15,12.05,91.41,76.3,3.25,7.46,14.14,-2.12,6.32,25.11,82.02,25.11,82.04,174.72,82.04,-3.21,0.82,1.06,-2.03,-2.29
class-00025001,-10.06,-0.1,3.85,609.76,416.27,13.86,100.16,82.83,3.81,8.18,14.73,-2.08,7.67,28.82,90.29,28.82,90.31,188.79,90.31,-3.2,1.39,1.64,-1.89,-1.41
class-00025001,-9.03,-0.4,4.48,585.93,394.28,14.97,98.82,80.93,3.07,8.69,13.66,-1.93,9.35,31,89.63,31,89.65,183.71,89.65,-2.44,0.75,1.05,-1.93,-1.68
class-00025001,-9.13,0.18,2.49,501.14,345.56,7.9,75.76,65.48,4.56,7.03,16.44,-2.11,3.25,16.89,66.68,16.89,66.7,152.86,66.7,-3.6,2.01,2.28,-1.93,-3.44
class-00025001,-11.44,0.29,1.52,554.35,367.67,13.22,99.56,82.76,1.71,6.82,13.04,-1.55,6.66,27.41,89.5,27.41,89.52,188.83,89.52,-2.84,-0.56,-0.16,-1.71,-1.64
class-00025001,-10.7,-0.35,3.43,548.66,372.47,13.65,100.58,83.29,2.26,7.3,13.31,-1.68,7.13,28.33,90.59,28.33,90.61,189.81,90.61,-3.03,-0.04,0.33,-1.76,-1.59
class-00025001,-10.23,-0.66,1.62,458.1,311.95,12.88,94.69,78.71,2.62,7.29,12.92,-2.01,7,26.73,85.16,26.73,85.18,179.76,85.18,-2.62,0.24,0.52,-2,-2.12
class-00025001,-5.98,-1.19,893.99,1203,742.76,1.43,45.41,43.19,-1.04,1.11,7.39,-1.53,-1.05,4.05,37.76,4.05,37.78,106.01,37.78,0.22,-3.02,-2.3,-1.69,-5.61
class-00025001,-5.98,-1.19,893.99,1203,742.76,1.43,45.41,43.19,-1.04,1.11,7.39,-1.53,-1.05,4.05,37.76,4.05,37.78,106.01,37.78,0.22,-3.02,-2.3,-1.69,-5.61
class-00025001,-9.99,-0.57,1.92,493.17,334.77,13.25,96.3,79.82,3.05,7.83,14.15,-2.1,7.25,27.5,86.72,27.5,86.74,182.08,86.75,-2.98,0.61,0.89,-2.05,-2.04
class-00025001,-9.83,-0.53,9.13,611.79,417.11,13.99,99.1,81.76,2.22,7.58,12.84,-1.58,7.88,29.06,89.47,29.06,89.49,186.18,89.49,-2.86,0.06,0.46,-1.73,-1.69
class-00025001,-9.83,-0.53,9.13,611.79,417.11,13.99,99.1,81.76,2.22,7.58,12.84,-1.58,7.88,29.06,89.47,29.06,89.49,186.18,89.49,-2.86,0.06,0.46,-1.73,-1.69
class-00025001,-9.86,-0.5,2.64,514.27,351.05,12.43,92.9,77.39,3.69,7.93,14.62,-2.15,6.74,25.93,83.44,25.93,83.46,177.13,83.46,-3.21,1.24,1.48,-2,-2.33
class-00025001,-9.7,-0.52,2.46,522.21,354.56,12.93,95.13,78.99,3.26,7.89,14.5,-2.11,6.99,26.88,85.59,26.88,85.61,180.39,85.61,-3.13,0.81,1.09,-2.04,-2.22
class-00025001,-12.77,-0.09,0.65,385.33,260.99,28.25,150.63,117.47,0.61,8.26,-3.68,-2.02,19.53,57.47,140.04,57.47,140.06,259.04,140.06,-2.13,-0.89,-2.62,-1.79,-0.88
class-00025001,-10.23,-0.66,1.62,458.1,311.95,12.88,94.69,78.71,2.62,7.29,12.92,-2.01,7,26.73,85.16,26.73,85.18,179.76,85.18,-2.62,0.24,0.52,-2,-2.12
class-00025001,-5.98,-1.19,893.99,1203,742.76,1.43,45.41,43.19,-1.04,1.11,7.39,-1.53,-1.05,4.05,37.76,4.05,37.78,106.01,37.78,0.22,-3.02,-2.3,-1.69,-5.61
class-00025001,-9.99,-0.57,1.92,493.17,334.77,13.25,96.3,79.82,3.05,7.83,14.15,-2.1,7.25,27.5,86.72,27.5,86.74,182.08,86.75,-2.98,0.61,0.89,-2.05,-2.04
class-00025001,-9.83,-0.53,9.13,611.79,417.11,13.99,99.1,81.76,2.22,7.58,12.84,-1.58,7.88,29.06,89.47,29.06,89.49,186.18,89.49,-2.86,0.06,0.46,-1.73,-1.69
class-00025001,-9.86,-0.5,2.64,514.27,351.05,12.43,92.9,77.39,3.69,7.93,14.62,-2.15,6.74,25.93,83.44,25.93,83.46,177.13,83.46,-3.21,1.24,1.48,-2,-2.33
class-00025001,-9.7,-0.52,2.46,522.21,354.56,12.93,95.13,78.99,3.26,7.89,14.5,-2.11,6.99,26.88,85.59,26.88,85.61,180.39,85.61,-3.13,0.81,1.09,-2.04,-2.22
class-00025001,-8.46,-0.51,8.9,734.39,483.07,11.61,89.56,75.08,3.08,7.13,13.77,-1.88,6.27,24.33,80.17,24.33,80.19,172.51,80.19,-2.95,0.74,1.08,-1.88,-1.98
class-00025001,-9.82,-1.29,8.43,834.68,533.37,10.82,85.14,71.53,-0.12,5.07,10.19,-1.44,5.41,22.69,76.14,22.7,76.16,164.58,76.16,-1.16,-2.21,-1.64,-1.74,-2.68
class-00025001,-10.48,-0.66,26.04,794.11,525.99,16.53,110.84,90.25,1.2,7.67,11.37,-1.55,9.59,34.2,100.71,34.21,100.73,203.95,100.73,-2,-0.87,-0.39,-1.73,-1.08
class-00025001,-9.1,2.49,1.16,451.55,303.64,6.09,72.96,64.17,5.02,6.21,17.52,-2.1,0.83,13.18,63.51,13.18,63.53,150.78,63.53,-5.06,2.44,2.69,-1.87,-3.62
class-00025001,-10.15,-1.11,6.73,732.19,474.68,19.87,119.95,95.82,1.03,7.34,5.14,-1.43,12.54,40.74,110.1,40.75,110.12,214.15,110.12,-1.66,-0.55,-0.46,-1.7,-0.64
class-00025001,-6.67,0.34,91392.07,102.24,92.95,-3.1,36.17,38.03,-1.65,-1.49,7.03,-1.81,-5.95,-4.9,27.86,-4.9,27.88,97.15,27.88,0.52,-3.67,-3.19,-1.68,-6.29
class-00025001,-10,0.07,0.94,427.69,293.53,13.14,99.46,82.76,2.64,7.46,14.45,-1.69,6.59,27.25,89.35,27.25,89.37,188.96,89.38,-3.56,0.27,0.63,-1.74,-1.83
class-00025001,-9.95,0.12,1.24,456.15,314.07,12.74,98.15,81.84,3.2,7.61,15.1,-1.78,6.26,26.5,88.07,26.51,88.1,187.12,88.1,-3.89,0.79,1.14,-1.77,-1.94
class-00025001,-10.02,2.02,1.9,494.82,340.31,12.84,96.44,80.36,5.28,9.13,17.65,-2.03,6.9,26.74,86.6,26.75,86.62,183.84,86.62,-3.72,2.73,3.01,-1.69,-1.84
class-00025001,-9.9,2.07,0.71,415.84,287.7,14.14,99.48,82.29,5.54,10.18,17.97,-2.04,8.4,29.29,89.72,29.3,89.74,187.55,89.75,-3.28,2.93,3.19,-1.63,-1.89
class-00025001,-9.65,-1,7.57,616.71,422.42,21,120.93,96.09,3.54,11.1,13.67,-1.83,14.12,43.12,111.38,43.12,111.4,214.55,111.4,-2.34,1.32,1.41,-1.82,-0.03
class-00025001,-9.97,2.06,0.54,380.24,261.83,13.89,100.1,82.98,5.25,9.62,17.68,-1.98,7.81,28.75,90.16,28.76,90.18,189.2,90.18,-3.55,2.64,2.89,-1.67,-1.6
class-00025001,-9.39,-1.04,6.43,661.17,450.76,19.93,121.13,96.89,2.84,10.16,13.64,-1.83,12.63,40.96,111.1,40.96,111.12,216.86,111.12,-2.38,0.66,0.83,-1.92,-0.14
class-00025001,-9.72,-0.02,2.1,522.16,354.67,10.47,85.92,72.61,4.21,7.66,15.88,-2.12,5.12,22,76.57,22,76.59,167.42,76.59,-3.57,1.68,1.94,-1.96,-2.9
class-00025001,-9.09,0.15,8.45,629.11,422.69,8.91,77.87,66.58,4.55,7.58,16.16,-2.14,4.4,18.96,68.97,18.96,68.99,154.71,68.99,-3.36,2.04,2.31,-1.93,-3.59
class-00025001,-8.98,0.16,10.77,654.43,438.37,11.27,85.81,72.13,4.91,8.95,16.59,-2.18,6.68,23.69,76.74,23.69,76.76,166.17,76.76,-3.07,2.39,2.65,-1.87,-3.44
class-00025001,-9.09,0.15,8.45,629.11,422.69,8.91,77.87,66.58,4.55,7.58,16.16,-2.14,4.4,18.96,68.97,18.96,68.99,154.71,68.99,-3.36,2.04,2.31,-1.93,-3.59
class-00025001,-8.98,0.16,10.77,654.43,438.37,11.27,85.81,72.13,4.91,8.95,16.59,-2.18,6.68,23.69,76.74,23.69,76.76,166.17,76.76,-3.07,2.39,2.65,-1.87,-3.44
class-00025001,-10.32,0.34,1.85,532.32,357.14,11.82,94.68,79.36,4.31,7.83,16.56,-1.9,5.53,24.69,84.7,24.69,84.72,182,84.72,-4.13,1.83,2.12,-1.77,-1.72
